symbol,accuracy
APT_USD,0.6768018018018018
ARB_USD,0.7051153460381143
ARPA_USD,0.7162162162162162
ARKM_USD,0.69593147751606
ASM_USD,0.7252396166134185
ASTER_USD,0.6363636363636364
AST_USD,0.6195826645264848
ATH_USD,0.6832151300236406
ATOM_USD,0.7022308438409312
AUCTION_USD,0.6904315196998124
AUDIO_USD,0.7694145758661888
AURORA_USD,0.7001044932079414
AVAX_USD,0.7578194816800715
AVNT_USD,0.6604696673189824
AVT_USD,0.5955056179775281
AWE_USD,0.7188940092165899
AXL_USD,0.6821621621621622
B3_USD,0.6637458926615553
BADGER_USD,0.6784452296819788
AXS_USD,0.6870144284128746
BAL_USD,0.784366576819407
BARD_USD,0.7696245733788396
BAND_USD,0.7562688064192578
BAT_USD,0.6969964664310954
BERA_USD,0.7032967032967034
BCH_USD,0.7470845481049563
BICO_USD,0.7135627530364372
BIGTIME_USD,0.6750448833034112
BIO_USD,0.686046511627907
BIRB_USD,0.7450199203187251
BLAST_USD,0.636085626911315
BLZ_USD,0.673394495412844
BNB_USD,0.7759856630824373
BLUR_USD,0.6688311688311688
BNKR_USD,0.6485207100591716
BOBBOB_USD,0.6662269129287599
BNT_USD,0.788034188034188
BOBA_USD,0.7917594654788419
BREV_USD,0.6390243902439025
BONK_USD,0.7324414715719063
BTRST_USD,0.6645435244161358
CAKE_USD,0.779646017699115
BTC_USD,0.8282157676348548
C98_USD,0.6782178217821783
CBETH_USD,0.8152466367713005
CFG_USD,0.6466165413533834
CLANKER_USD,0.6630434782608695
CGLD_USD,0.6833333333333333
CLV_USD,0.5897435897435898
CHZ_USD,0.6571428571428571
COOKIE_USD,0.6323713927227101
COSMOSDYDX_USD,0.6967592592592593
CORECHAIN_USD,0.6766398158803222
COMP_USD,0.7469262295081968
COTI_USD,0.7065088757396449
COW_USD,0.7036144578313253
CRO_USD,0.7627811860940695
CTX_USD,0.8232044198895028
CTSI_USD,0.7300242130750605
CVC_USD,0.739406779661017
CRV_USD,0.6713995943204868
CVX_USD,0.6566265060240963
DASH_USD,0.6857585139318886
DBR_USD,0.7572559366754618
DEGEN_USD,0.6910919540229885
DIA_USD,0.707196029776675
DEXT_USD,0.6666666666666666
DNT_USD,0.6205733558178752
DIMO_USD,0.6544401544401545
DOGE_USD,0.7630736392742796
DOOD_USD,0.8297872340425532
DOGINME_USD,0.6834094368340944
DOLO_USD,0.7397094430992736
EDGE_USD,0.7271186440677966
DRIFT_USD,0.6792738275340393
DOT_USD,0.7384806973848069
EIGEN_USD,0.7122507122507122
ELSA_USD,0.6852589641434262
EGLD_USD,0.7634691195795007
ELA_USD,0.75
ENA_USD,0.7197530864197531
ENS_USD,0.6966932725199544
EOS_USD,0.7386363636363636
ERA_USD,0.7696629213483146
ETHFI_USD,0.7131367292225201
ETC_USD,0.8288288288288288
EUL_USD,0.7719869706840391
FAI_USD,0.7286527514231499
ETH_USD,0.8367103694874851
FARTCOIN_USD,0.6465798045602605
FARM_USD,0.7378410438908659
FET_USD,0.68
FIGHT_USD,0.625
FIDA_USD,0.7526595744680851
FIL_USD,0.6932952924393724
FLOCK_USD,0.6472049689440994
FIS_USD,0.6230031948881789
FLOKI_USD,0.7279596977329975
FLOW_USD,0.7308970099667774
FLUID_USD,0.7543859649122807
FLR_USD,0.7441860465116279
FORT_USD,0.7249466950959488
